Patent_No,Publication_Number,Priority_Date,Publication_Date,Examiner_Cited
US9104001,US5159651A,11/25/1991,10/27/1992, 
US9104001,US5267337A,6/3/1991,11/30/1993, 
US9104001,US5345520A,7/28/1993,9/6/1994, 
US9104001,US5461688A,9/2/1994,10/24/1995, 
US9104001,US5467420A,4/10/1993,11/14/1995, 
US9104001,US5473715A,5/3/1994,12/5/1995, 
US9104001,US5574815A,1/28/1991,11/12/1996, 
US9104001,US6416334B1,3/24/2000,7/9/2002, 
US9104001,US6542674B1,8/25/2000,4/1/2003, 
US9104001,US6546175B1,5/26/2000,4/8/2003, 
US9104001,US6579014B2,9/28/2001,6/17/2003, 
US9104001,US6588938B1,10/18/2000,7/8/2003, 
US9104001,US6648520B2,9/28/2001,11/18/2003, 
US9104001,US20040050314A1,9/12/2002,3/18/2004, 
US9104001,US6733186B2,9/27/2001,5/11/2004, 
US9104001,US6931183B2,3/29/1996,8/16/2005, 
US9104001,US7018331B2,8/26/1996,3/28/2006, 
US9104001,US7090406B2,5/26/2000,8/15/2006, 
US9104001,US7090407B2,5/26/2000,8/15/2006, 
US9104001,US7113679B2,5/26/2000,9/26/2006, 
US9104001,US7111990B2,5/26/2000,9/26/2006, 
US9104001,US7137742B2,8/24/2004,11/21/2006,*
US9104001,US7213975B2,9/10/2004,5/8/2007, 
US9104001,US20070160327A1,3/10/2005,7/12/2007, 
US9104001,US7264402B2,3/10/2005,9/4/2007, 
US9104001,US20080138025A1,11/3/2004,6/12/2008, 
US9104001,US7463803B2,11/14/2005,12/9/2008, 
US9104001,US7481585B2,11/29/2006,1/27/2009, 
US9104001,US20090148101A1,12/11/2007,6/11/2009, 
US9104001,US7572065B2,1/24/2007,8/11/2009, 
US9104001,US20090304335A1,4/21/2008,12/10/2009, 
US9104001,US7677813B2,6/15/2007,3/16/2010, 
US9104001,US7798725B2,4/15/2005,9/21/2010, 
US9104001,US7848604B2,8/31/2007,12/7/2010, 
US9104001,US20110123157A1,11/24/2009,5/26/2011, 
US9104001,US20110200286A1,2/4/2010,8/18/2011, 
US9104001,US8083416B2,11/30/2007,12/27/2011, 
US9104001,US8113720B2,11/29/2006,2/14/2012, 
US9104001,USRE43542E1,6/12/2000,7/24/2012, 
US9104001,US20130322826A1,6/5/2012,12/5/2013,*
US9097871,US4765710A,7/30/1985,8/23/1988, 
US9097871,EP0341027A2,5/2/1988,11/8/1989, 
US9097871,US5129030A,5/30/1991,7/7/1992, 
US9097871,US5167001A,9/3/1991,11/24/1992, 
US9097871,US5497444A,1/21/1994,3/5/1996, 
US9097871,US5758003A,3/15/1996,5/26/1998, 
US9097871,US6195493B1,5/21/1999,2/27/2001, 
US9097871,US6504988B1,1/24/2000,1/7/2003, 
US9097871,US6591051B2,11/16/2001,7/8/2003, 
US9097871,US20030174996A1,3/15/2002,9/18/2003, 
US9097871,US20030223723A1,5/28/2002,12/4/2003, 
US9097871,US6715619B2,7/22/2002,4/6/2004, 
US9097871,US20040086252A1,11/5/2002,5/6/2004, 
US9097871,US6752665B2,11/18/2002,6/22/2004, 
US9097871,US6760531B1,3/1/1999,7/6/2004, 
US9097871,US6920274B2,12/23/2003,7/19/2005, 
US9097871,US6937807B2,4/24/2002,8/30/2005, 
US9097871,US6944383B1,4/12/2004,9/13/2005, 
US9097871,EP1603345A2,6/1/2004,12/7/2005, 
US9097871,US7194181B2,3/31/2005,3/20/2007, 
US9097871,US7200316B2,11/26/2003,4/3/2007, 
US9097871,US7257223B2,5/10/2001,8/14/2007, 
US9097871,US7474828B2,10/2/2006,1/6/2009, 
US9097871,US7570861B2,1/19/2007,8/4/2009, 
US9097871,US7570860B2,1/19/2007,8/4/2009, 
US9097871,US8179684B2,10/29/2007,5/15/2012,*
US9097870,US20060153517A1,11/3/2004,7/13/2006, 
US9097870,US7090406B2,5/26/2000,8/15/2006, 
US9097870,US7477824B2,4/5/2006,1/13/2009, 
US9097870,US20090317047A1,6/19/2008,12/24/2009, 
US9097870,US7720343B2,2/13/2006,5/18/2010, 
US9093796,US3243761A,10/8/1963,3/29/1966, 
US9093796,US4127317A,7/6/1976,11/28/1978, 
US9093796,US4953194A,9/22/1989,8/28/1990, 
US9093796,US4968929A,4/18/1987,11/6/1990, 
US9093796,US5030123A,3/24/1989,7/9/1991, 
US9093796,US5052940A,5/11/1990,10/1/1991, 
US9093796,US5107532A,9/22/1989,4/21/1992, 
US9093796,US5161988A,2/13/1991,11/10/1992, 
US9093796,US5166970A,6/10/1991,11/24/1992, 
US9093796,US5197895A,5/10/1991,3/30/1993, 
US9093796,US5222164A,8/27/1992,6/22/1993, 
US9093796,US5265187A,10/28/1992,11/23/1993, 
US9093796,US5305405A,2/25/1993,4/19/1994, 
US9093796,US5353367A,11/29/1993,10/4/1994, 
US9093796,US5382182A,5/28/1993,1/17/1995, 
US9093796,US5393249A,6/30/1993,2/28/1995, 
US9093796,US5394503A,10/8/1993,2/28/1995, 
US9093796,US5413494A,10/5/1992,5/9/1995, 
US9093796,US5415570A,12/28/1992,5/16/1995, 
US9093796,US5418334A,8/4/1993,5/23/1995, 
US9093796,US5419717A,8/15/1994,5/30/1995, 
US9093796,US5448675A,6/9/1994,9/5/1995, 
US9093796,US5467062A,4/2/1992,11/14/1995, 
US9093796,US5470251A,9/24/1993,11/28/1995, 
US9093796,US5473715A,5/3/1994,12/5/1995, 
US9093796,US5483467A,6/10/1992,1/9/1996, 
US9093796,US5660567A,11/14/1995,8/26/1997, 
US9093796,US5674085A,5/24/1996,10/7/1997, 
US9093796,US5685741A,6/27/1996,11/11/1997, 
US9093796,US5704797A,5/19/1994,1/6/1998, 
US9093796,US5712942A,5/13/1996,1/27/1998, 
US9093796,US5800192A,8/30/1996,9/1/1998, 
US9093796,US5821510A,12/22/1994,10/13/1998, 
US9093796,US5854824A,9/4/1994,12/29/1998, 
US9093796,US5871368A,11/19/1996,2/16/1999, 
US9093796,US5910776A,10/24/1994,6/8/1999, 
US9093796,US6002331A,7/20/1998,12/14/1999, 
US9093796,US6095851A,11/17/1997,8/1/2000, 
US9093796,US6116961A,11/12/1998,9/12/2000, 
US9093796,WO2000065696A1,4/23/1999,11/2/2000, 
US9093796,US6222975B1,12/11/1998,4/24/2001, 
US9093796,US6222908B1,9/23/1999,4/24/2001, 
US9093796,US6227911B1,9/9/1998,5/8/2001, 
US9093796,US6234830B1,2/10/1999,5/22/2001, 
US9093796,US6238235B1,5/10/1999,5/29/2001, 
US9093796,US6244908B1,8/4/2000,6/12/2001, 
US9093796,US6280231B1,7/24/1998,8/28/2001, 
US9093796,US6285293B1,2/10/1999,9/4/2001, 
US9093796,US6300877B1,3/10/2000,10/9/2001, 
US9093796,US6330148B1,1/13/1999,12/11/2001, 
US9093796,US6330307B1,2/10/1999,12/11/2001, 
US9093796,US20020008613A1,2/11/2000,1/24/2002, 
US9093796,US6350148B1,2/10/1999,2/26/2002, 
US9093796,US6364694B1,1/19/2001,4/2/2002, 
US9093796,US6371780B1,5/15/2000,4/16/2002, 
US9093796,WO2002047215A1,12/6/2000,6/13/2002, 
US9093796,US6421322B1,11/17/1997,7/16/2002, 
US9093796,US6422895B1,4/17/2001,7/23/2002, 
US9093796,US6424710B1,2/10/1999,7/23/2002, 
US9093796,US6431892B1,8/31/1999,8/13/2002, 
US9093796,US6456768B1,10/18/2000,9/24/2002, 
US9093796,USD466479S1,5/25/2000,12/3/2002, 
US9093796,US6499861B1,9/23/1999,12/31/2002, 
US9093796,US6511231B2,12/27/2000,1/28/2003, 
US9093796,US6522737B1,2/10/1999,2/18/2003, 
US9093796,US6554484B2,12/27/2000,4/29/2003, 
US9093796,US6574586B1,4/6/1999,6/3/2003, 
US9093796,US6612856B1,12/17/2001,9/2/2003, 
US9093796,US6626697B1,11/7/2002,9/30/2003, 
US9093796,US6641443B1,9/27/2002,11/4/2003, 
US9093796,US6663436B1,1/23/2002,12/16/2003, 
US9093796,US6684179B1,4/6/1999,1/27/2004, 
US9093796,DE10244304B3,9/23/2002,3/18/2004, 
US9093796,US20040052498A1,9/13/2002,3/18/2004, 
US9093796,US6743044B2,8/14/2002,6/1/2004, 
US9093796,US6780035B2,3/12/2001,8/24/2004, 
US9093796,US6786776B2,9/27/2002,9/7/2004, 
US9093796,US6793408B2,12/31/2002,9/21/2004, 
US9093796,US6802735B2,6/18/2002,10/12/2004, 
US9093796,US6808116B1,5/29/2002,10/26/2004, 
US9093796,US6811446B1,10/8/2003,11/2/2004, 
US9093796,US6814624B2,11/22/2002,11/9/2004, 
US9093796,US20040240807A1,5/30/2001,12/2/2004, 
US9093796,US6835091B2,7/6/2001,12/28/2004, 
US9093796,US6850685B2,3/27/2002,2/1/2005, 
US9093796,US6932517B2,10/27/2000,8/23/2005, 
US9093796,US20050186819A1,1/20/2004,8/25/2005, 
US9093796,USD510068S1,3/11/2002,9/27/2005, 
US9093796,US20050227524A1,4/9/2004,10/13/2005, 
US9093796,US6961675B2,3/14/2000,11/1/2005, 
US9093796,US6971895B2,11/15/2002,12/6/2005, 
US9093796,US6976867B2,11/7/2002,12/20/2005, 
US9093796,DE102004033940A1,7/14/2004,2/16/2006, 
US9093796,US7077710B2,3/21/2001,7/18/2006, 
US9093796,US20060160395A1,12/21/2004,7/20/2006, 
US9093796,US7081808B2,9/13/2002,7/25/2006, 
US9093796,US7112090B2,5/14/2003,9/26/2006, 
US9093796,US7123810B2,5/4/2004,10/17/2006, 
US9093796,US20060234564A1,4/15/2005,10/19/2006, 
US9093796,US7153142B2,11/11/2002,12/26/2006, 
US9093796,US7165728B2,4/2/2004,1/23/2007, 
US9093796,US7207819B2,9/9/2005,4/24/2007, 
US9093796,US7210858B2,1/15/2002,5/1/2007, 
US9093796,US7226217B1,11/18/2005,6/5/2007, 
US9093796,US7234944B2,8/26/2005,6/26/2007, 
US9093796,US20070237470A1,4/10/2006,10/11/2007, 
US9093796,US20070254529A1,4/26/2006,11/1/2007, 
US9093796,US7297018B2,11/3/2004,11/20/2007, 
US9093796,US7312715B2,7/31/2003,12/25/2007, 
US9093796,US7315224B2,8/23/2001,1/1/2008, 
US9093796,US7314393B2,5/27/2005,1/1/2008, 
US9093796,USD559186S1,9/20/2004,1/8/2008, 
US9093796,US7352289B1,9/11/2003,4/1/2008, 
US9093796,US7356208B2,5/3/2006,4/8/2008, 
US9093796,US20080090454A1,10/10/2006,4/17/2008, 
US9093796,US20080100467A1,10/31/2006,5/1/2008, 
US9093796,US7370106B2,11/22/2000,5/6/2008, 
US9093796,US7384300B1,12/22/1999,6/10/2008, 
US9093796,US20080153343A1,12/26/2006,6/26/2008, 
US9093796,US7396245B2,10/13/2006,7/8/2008, 
US9093796,US7497709B1,9/12/2007,3/3/2009, 
US9093796,US7519000B2,1/30/2002,4/14/2009, 
US9093796,US20090097846A1,12/14/2006,4/16/2009, 
US9093796,US7534137B2,2/14/2006,5/19/2009, 
US9093796,US7552872B2,6/21/2006,6/30/2009, 
US9093796,US20090166404A1,1/2/2008,7/2/2009, 
US9093796,US20090170359A1,12/28/2007,7/2/2009, 
US9093796,US7563116B2,9/22/2007,7/21/2009, 
US9093796,US7570861B2,1/19/2007,8/4/2009, 
US9093796,US7575454B1,6/5/2008,8/18/2009, 
US9093796,US7588470B2,9/18/2007,9/15/2009, 
US9093796,US20090232455A1,3/4/2008,9/17/2009, 
US9093796,US7591667B2,3/4/2005,9/22/2009, 
US9093796,US7607926B2,3/14/2008,10/27/2009, 
US9093796,US7635280B1,7/30/2008,12/22/2009, 
US9093796,WO2010001400A1,7/2/2008,1/7/2010, 
US9093796,US7648377B2,7/31/2007,1/19/2010, 
US9093796,DE102008034261A1,7/14/2008,1/21/2010, 
US9093796,US20100048064A1,8/19/2008,2/25/2010, 
US9093796,US20100046064A1,3/31/2008,2/25/2010, 
US9093796,US7682174B2,8/28/2007,3/23/2010, 
US9093796,DE102008052857A1,10/23/2008,4/29/2010, 
US9093796,US7727026B2,10/12/2007,6/1/2010, 
US9093796,WO2010081186A1,1/19/2009,7/22/2010, 
US9093796,US20100211697A1,2/13/2009,8/19/2010, 
US9093796,US7798832B2,9/3/2007,9/21/2010, 
US9093796,US7811119B2,11/18/2005,10/12/2010, 
US9093796,WO2010121639A1,4/22/2009,10/28/2010, 
US9093796,US7867017B1,11/20/2009,1/11/2011, 
US9093796,US7869426B2,3/22/2006,1/11/2011, 
US9093796,US7872738B2,8/22/2005,1/18/2011, 
US9093796,US7914310B2,10/29/2007,3/29/2011, 
US9093796,US20110115494A1,10/19/2009,5/19/2011, 
US9093796,US20110228473A1,2/12/2010,9/22/2011, 
US9093796,US20120003877A1,7/2/2010,1/5/2012, 
US9093796,US8157582B2,4/2/2009,4/17/2012, 
US9093796,US20120184141A1,10/22/2010,7/19/2012,*
US9093796,US8282425B2,8/25/2009,10/9/2012, 
US9093796,US8287316B2,8/25/2009,10/16/2012, 
US9093796,US8303348B2,11/3/2009,11/6/2012, 
US9093796,US20120322310A1,4/15/2011,12/20/2012, 
US9093796,US8388386B2,10/22/2010,3/5/2013, 
US9093796,US8408926B1,12/1/2010,4/2/2013, 
US9093796,US8425255B2,2/4/2011,4/23/2013, 
US9081537,US5052940A,5/11/1990,10/1/1991, 
US9081537,US5161988A,2/13/1991,11/10/1992, 
US9081537,US5195902A,5/11/1990,3/23/1993, 
US9081537,US5280251A,11/7/1991,1/18/1994, 
US9081537,US5386567A,1/20/1992,1/31/1995, 
US9081537,US5394503A,10/8/1993,2/28/1995, 
US9081537,US5418334A,8/4/1993,5/23/1995, 
US9081537,US5420512A,11/21/1991,5/30/1995, 
US9081537,US5448675A,6/9/1994,9/5/1995, 
US9081537,US5461693A,7/14/1994,10/24/1995, 
US9081537,US5463706A,2/16/1994,10/31/1995, 
US9081537,US5473715A,5/3/1994,12/5/1995, 
US9081537,US5483467A,6/10/1992,1/9/1996, 
US9081537,US5487666A,12/31/1991,1/30/1996, 
US9081537,US5541586A,5/3/1993,7/30/1996, 
US9081537,US5550755A,7/14/1994,8/27/1996, 
US9081537,US5606664A,5/21/1990,2/25/1997, 
US9081537,US5619496A,6/10/1994,4/8/1997,*
US9081537,US5625777A,11/29/1990,4/29/1997, 
US9081537,US5764043A,12/20/1996,6/9/1998, 
US9081537,US5832071A,11/24/1995,11/3/1998, 
US9081537,US5854824A,9/4/1994,12/29/1998, 
US9081537,US5876240A,4/1/1997,3/2/1999, 
US9081537,US5886531A,3/21/1996,3/23/1999, 
US9081537,JPH11162570A,11/26/1997,6/18/1999, 
US9081537,US6002331A,7/20/1998,12/14/1999, 
US9081537,US6115393A,4/12/1991,9/5/2000, 
US9081537,US6222908B1,9/23/1999,4/24/2001, 
US9081537,US6234830B1,2/10/1999,5/22/2001, 
US9081537,US6238235B1,5/10/1999,5/29/2001, 
US9081537,US6243510B1,3/13/2000,6/5/2001,*
US9081537,US6285293B1,2/10/1999,9/4/2001, 
US9081537,US6300877B1,3/10/2000,10/9/2001, 
US9081537,JP2001297044A,4/13/2000,10/26/2001, 
US9081537,US20010043573A1,4/14/2000,11/22/2001, 
US9081537,US6330307B1,2/10/1999,12/11/2001, 
US9081537,US6350148B1,2/10/1999,2/26/2002, 
US9081537,US6359859B1,6/3/1999,3/19/2002, 
US9081537,US20020071394A1,11/17/1997,6/13/2002,*
US9081537,US6421337B1,12/15/1997,7/16/2002, 
US9081537,US6424710B1,2/10/1999,7/23/2002, 
US9081537,US20020194426A1,4/10/1998,12/19/2002,*
US9081537,US20020191602A1,6/13/2001,12/19/2002, 
US9081537,US6499861B1,9/23/1999,12/31/2002, 
US9081537,US6522737B1,2/10/1999,2/18/2003, 
US9081537,US20030037132A1,8/20/2001,2/20/2003, 
US9081537,US20030097481A1,3/1/2001,5/22/2003, 
US9081537,US6574586B1,4/6/1999,6/3/2003, 
US9081537,US6577243B1,12/14/1999,6/10/2003, 
US9081537,US6577595B1,11/12/1999,6/10/2003, 
US9081537,US20030112802A1,11/16/2001,6/19/2003, 
US9081537,US20030120915A1,11/30/2001,6/26/2003, 
US9081537,US6684179B1,4/6/1999,1/27/2004, 
US9081537,US6701192B1,9/13/2000,3/2/2004, 
US9081537,US6862609B2,3/7/2001,3/1/2005, 
US9081537,US20050097243A1,10/7/2003,5/5/2005,*
US9081537,US20050114473A1,10/30/2003,5/26/2005, 
US9081537,US20050164548A1,1/22/2004,7/28/2005, 
US9081537,US20050186819A1,1/20/2004,8/25/2005, 
US9081537,EP1569494A2,2/26/2004,8/31/2005, 
US9081537,US20050190768A1,6/16/2003,9/1/2005, 
US9081537,USD510068S1,3/11/2002,9/27/2005, 
US9081537,US6961675B2,3/14/2000,11/1/2005, 
US9081537,US6968994B1,7/6/2004,11/29/2005, 
US9081537,US6976867B2,11/7/2002,12/20/2005, 
US9081537,US6983095B2,11/17/2003,1/3/2006,*
US9081537,US7000042B1,7/31/2000,2/14/2006,*
US9081537,US20060050630A1,9/9/2004,3/9/2006,*
US9081537,US20060059293A1,9/14/2004,3/16/2006, 
US9081537,US7038135B1,6/28/2004,5/2/2006, 
US9081537,US7042562B2,12/26/2002,5/9/2006, 
US9081537,US20060123119A1,12/8/2004,6/8/2006, 
US9081537,US7077710B2,3/21/2001,7/18/2006, 
US9081537,US20060160396A1,12/21/2004,7/20/2006, 
US9081537,US20060160395A1,12/21/2004,7/20/2006, 
US9081537,US7081808B2,9/13/2002,7/25/2006, 
US9081537,US20060179144A1,1/27/2005,8/10/2006, 
US9081537,US20060203715A1,3/14/2005,9/14/2006, 
US9081537,US20060220533A1,4/1/2005,10/5/2006,*
US9081537,US20060227759A1,9/14/2004,10/12/2006, 
US9081537,US7123810B2,5/4/2004,10/17/2006, 
US9081537,US7143227B2,2/18/2003,11/28/2006, 
US9081537,US20060268507A1,5/26/2005,11/30/2006, 
US9081537,US7153142B2,11/11/2002,12/26/2006, 
US9081537,US20070025306A1,8/1/2005,2/1/2007, 
US9081537,US20070042637A1,2/4/2004,2/22/2007,*
US9081537,US20070058338A1,8/27/2005,3/15/2007, 
US9081537,US20070117444A1,11/18/2005,5/24/2007, 
US9081537,US20070115850A1,10/20/2005,5/24/2007, 
US9081537,US7226217B1,11/18/2005,6/5/2007, 
US9081537,US7229020B2,9/25/2002,6/12/2007, 
US9081537,US7234944B2,8/26/2005,6/26/2007, 
US9081537,US20070162954A1,4/7/2003,7/12/2007, 
US9081537,US20070230452A1,3/22/2006,10/4/2007, 
US9081537,US20070238343A1,3/14/2006,10/11/2007, 
US9081537,US20070245033A1,4/14/2006,10/18/2007, 
US9081537,US7289334B2,8/27/2003,10/30/2007, 
US9081537,US7297018B2,11/3/2004,11/20/2007, 
US9081537,US20070274234A1,5/26/2006,11/29/2007, 
US9081537,US7312715B2,7/31/2003,12/25/2007, 
US9081537,US7315224B2,8/23/2001,1/1/2008, 
US9081537,USD559186S1,9/20/2004,1/8/2008, 
US9081537,US20080013457A1,7/2/2003,1/17/2008, 
US9081537,USD564966S1,6/2/2004,3/25/2008, 
US9081537,US20080077656A1,9/6/2002,3/27/2008, 
US9081537,US7352289B1,9/11/2003,4/1/2008, 
US9081537,US7377819B1,4/27/2006,5/27/2008, 
US9081537,US20080133986A1,12/11/2002,6/5/2008, 
US9081537,US7401985B2,4/10/2006,7/22/2008, 
US9081537,US7411405B2,11/3/2004,8/12/2008, 
US9081537,USD575743S1,9/21/2005,8/26/2008, 
US9081537,US20080225853A1,2/14/2007,9/18/2008, 
US9081537,US20080239944A1,3/29/2007,10/2/2008, 
US9081537,US7445389B2,4/10/2006,11/4/2008, 
US9081537,US7455527B2,5/3/2004,11/25/2008, 
US9081537,US7468669B1,6/21/2005,12/23/2008, 
US9081537,US7479032B2,10/10/2006,1/20/2009, 
US9081537,US7499616B2,4/10/2006,3/3/2009, 
US9081537,US20090136293A1,11/28/2007,5/28/2009, 
US9081537,US7540667B2,8/1/2007,6/2/2009, 
US9081537,US7564795B2,10/2/2006,7/21/2009, 
US9081537,US7587590B2,10/29/2001,9/8/2009, 
US9081537,US20100049822A1,4/23/2003,2/25/2010, 
US9081537,US7684416B2,12/5/2000,3/23/2010,*
US9081537,US20100091790A1,10/15/2008,4/15/2010, 
US9081537,US20100127758A1,11/25/2008,5/27/2010, 
US9081537,US20100150005A1,12/16/2008,6/17/2010, 
US9081537,US20100211664A1,2/13/2009,8/19/2010,*
US9081537,US20100241748A1,12/29/2006,9/23/2010, 
US9081537,US7804700B2,12/25/2007,9/28/2010, 
US9081537,US20100302754A1,3/19/2009,12/2/2010, 
US9081537,US20100315942A1,6/15/2009,12/16/2010, 
US9081537,US7881675B1,1/7/2005,2/1/2011, 
US9081537,US7979613B2,7/15/2005,7/12/2011, 
US9081537,US20110219147A1,3/2/2010,9/8/2011,*
US9081537,US8027364B2,4/6/2005,9/27/2011, 
US9081537,US20120051490A1,8/30/2010,3/1/2012, 
US9081537,US20120133524A1,2/12/2010,5/31/2012,*
US9081537,US20120185185A1,9/15/2009,7/19/2012, 
US9081537,US20120246523A1,3/25/2011,9/27/2012, 
US9081537,US20120243554A1,3/25/2011,9/27/2012, 
US9081537,US8346919B1,3/30/2010,1/1/2013, 
US9081164,US4708430A,10/25/1984,11/24/1987, 
US9081164,EP0293183A2,5/26/1987,11/30/1988, 
US9081164,US4792203A,9/17/1985,12/20/1988,*
US9081164,US4912615A,6/17/1988,3/27/1990, 
US9081164,US4995681A,9/11/1989,2/26/1991, 
US9081164,US5142606A,1/22/1990,8/25/1992, 
US9081164,US5339379A,6/18/1993,8/16/1994, 
US9081164,DE4329184A1,8/30/1993,3/2/1995, 
US9081164,US5402515A,3/1/1994,3/28/1995, 
US9081164,DE4413136C1,4/19/1994,5/4/1995, 
US9081164,US5740299A,9/29/1993,4/14/1998, 
US9081164,US5946440A,11/17/1997,8/31/1999,*
US9081164,US5966492A,12/19/1997,10/12/1999,*
US9081164,US6160946A,7/27/1998,12/12/2000, 
US9081164,US6234240B1,7/1/1999,5/22/2001, 
US9081164,US6263141B1,9/9/1998,7/17/2001, 
US9081164,US6272009B1,10/21/1999,8/7/2001, 
US9081164,US6301424B1,4/13/2000,10/9/2001, 
US9081164,WO2002019005A2,8/28/2000,3/7/2002, 
US9081164,WO2002021182A1,9/8/2000,3/14/2002, 
US9081164,EP1203974A2,11/1/2000,5/8/2002, 
US9081164,US6418264B1,5/19/1997,7/9/2002, 
US9081164,US6442022B1,4/25/2000,8/27/2002, 
US9081164,WO2002071767A2,3/6/2001,9/12/2002, 
US9081164,US6529373B1,2/22/2000,3/4/2003, 
US9081164,US6538879B2,7/31/2001,3/25/2003, 
US9081164,US6540083B2,5/30/2001,4/1/2003, 
US9081164,US6560099B1,7/10/2002,5/6/2003, 
US9081164,US6600665B2,8/3/2001,7/29/2003, 
US9081164,US6738261B2,7/16/2001,5/18/2004, 
US9081164,US6788544B1,4/11/2003,9/7/2004, 
US9081164,US6850685B2,3/27/2002,2/1/2005,*
US9081164,US6870734B2,5/30/2003,3/22/2005, 
US9081164,US6902069B2,10/23/2002,6/7/2005, 
US9081164,US6944387B2,4/30/2001,9/13/2005, 
US9081164,US6944383B1,4/12/2004,9/13/2005,*
US9081164,US7086539B2,10/21/2002,8/8/2006, 
US9081164,US7349615B2,8/25/2006,3/25/2008,*
US9081164,US7460758B2,6/3/2005,12/2/2008,*
US9081164,US20090257726A1,4/11/2008,10/15/2009,*
US9081164,US8417074B2,11/21/2008,4/9/2013,*
US9081164,US20130170810A1,8/24/2011,7/4/2013,*
US9081154,US4679895A,8/31/1984,7/14/1987, 
US9081154,US4690494A,5/7/1984,9/1/1987, 
US9081154,US4726647A,3/19/1985,2/23/1988, 
US9081154,US4753510A,4/11/1985,6/28/1988,*
US9081154,US4762389A,3/30/1984,8/9/1988, 
US9081154,US4792205A,5/15/1986,12/20/1988, 
US9081154,US4889406A,4/11/1985,12/26/1989,*
US9081154,US5016970A,8/22/1989,5/21/1991, 
US9081154,US5134677A,2/15/1991,7/28/1992, 
US9081154,US5142598A,8/28/1991,8/25/1992, 
US9081154,US5146525A,9/3/1991,9/8/1992, 
US9081154,US5181267A,2/23/1988,1/19/1993, 
US9081154,US5212753A,2/25/1992,5/18/1993, 
US9081154,US5212752A,5/27/1992,5/18/1993, 
US9081154,US5214732A,1/2/1992,5/25/1993, 
US9081154,US5216733A,3/11/1991,6/1/1993, 
US9081154,US5222169A,2/18/1992,6/22/1993, 
US9081154,US5224186A,5/29/1991,6/29/1993, 
US9081154,US5253315A,12/24/1990,10/12/1993, 
US9081154,US5287425A,2/26/1993,2/15/1994, 
US9081154,US5317663A,5/20/1993,5/31/1994, 
US9081154,US5321784A,2/18/1993,6/14/1994, 
US9081154,US5428703A,2/18/1994,6/27/1995, 
US9081154,US5436995A,5/14/1993,7/25/1995, 
US9081154,US5625731A,12/6/1994,4/29/1997, 
US9081154,US5633970A,5/23/1995,5/27/1997, 
US9081154,US5671310A,11/16/1995,9/23/1997, 
US9081154,US5682451A,5/23/1995,10/28/1997, 
US9081154,US5717802A,9/19/1994,2/10/1998, 
US9081154,US5732175A,1/31/1997,3/24/1998, 
US9081154,US5809192A,6/22/1994,9/15/1998, 
US9081154,US5852694A,7/10/1996,12/22/1998, 
US9081154,US5946436A,7/22/1997,8/31/1999, 
US9081154,US6142676A,5/20/1997,11/7/2000, 
US9081154,US6151432A,7/15/1996,11/21/2000,*
US9081154,US6155146A,7/28/1999,12/5/2000, 
US9081154,EP1072914A2,7/28/1999,1/31/2001, 
US9081154,US6238101B1,7/8/1999,5/29/2001,*
US9081154,US6419402B1,12/13/1999,7/16/2002, 
US9081154,US6428215B1,12/27/2000,8/6/2002, 
US9081154,US6629782B2,2/4/2002,10/7/2003, 
US9081154,US20040151437A1,1/30/2003,8/5/2004,*
US9081152,US5067783A,10/16/1990,11/26/1991, 
US9081152,US5317663A,5/20/1993,5/31/1994, 
US9081152,US5542015A,4/8/1993,7/30/1996, 
US9081152,EP0731369A2,3/8/1995,9/11/1996, 
US9081152,US5737464A,8/31/1995,4/7/1998, 
US9081152,US5838855A,5/16/1997,11/17/1998, 
US9081152,JP2000266963A,3/16/1999,9/29/2000, 
US9081152,JP2001033658A,4/9/1999,2/9/2001, 
US9081152,US6367984B1,11/10/1999,4/9/2002, 
US9081152,US6508593B1,5/9/2000,1/21/2003, 
US9081152,US20030156797A1,2/19/2002,8/21/2003, 
US9081152,US20060093274A1,5/3/2002,5/4/2006, 
US9081152,US20060093300A1,11/4/2004,5/4/2006,*
US9081152,US20100111484A1,10/31/2008,5/6/2010,*
US9079370,US3880194A,2/20/1973,4/29/1975,*
US9079370,US3911041A,9/23/1974,10/7/1975, 
US9079370,US3953250A,10/30/1974,4/27/1976,*
US9079370,US4067852A,5/13/1976,1/10/1978, 
US9079370,US4083829A,5/13/1976,4/11/1978, 
US9079370,US4130545A,9/12/1977,12/19/1978, 
US9079370,US4161470A,10/20/1977,7/17/1979, 
US9079370,US4190319A,2/13/1978,2/26/1980,*
US9079370,US4199225A,4/7/1978,4/22/1980,*
US9079370,US4318842A,10/6/1980,3/9/1982, 
US9079370,US4468364A,4/28/1983,8/28/1984, 
US9079370,US4715677A,12/24/1985,12/29/1987,*
US9079370,US4830459A,2/12/1987,5/16/1989,*
US9079370,US4911525A,10/5/1988,3/27/1990,*
US9079370,US5448670A,6/10/1994,9/5/1995,*
US9079370,US5611017A,6/1/1995,3/11/1997,*
US9079370,US6385828B1,8/28/2001,5/14/2002,*
US9079370,US6542674B1,8/25/2000,4/1/2003, 
US9079370,US20030118298A1,6/6/2000,6/26/2003,*
US9079370,US6826338B2,2/28/2001,11/30/2004,*
US9079370,US20060165355A1,12/19/2002,7/27/2006,*
US9079370,US7185838B2,3/13/2002,3/6/2007,*
US9079370,US7379642B2,1/18/2005,5/27/2008, 
US9079370,US20090152746A1,10/16/2007,6/18/2009, 
